fecha;equipo_local;equipo_visitante;goles_local;goles_visitante;url_partido;Posesión de pelota_local;Posesión de pelota_visitante;Goles esperados (xG)_local;Goles esperados (xG)_visitante;Tiros totales_local;Tiros totales_visitante;Tiros a puerta_local;Tiros a puerta_visitante;Disparos al palo_local;Disparos al palo_visitante;Tiros fuera_local;Tiros fuera_visitante;Tiros bloqueados_local;Tiros bloqueados_visitante;Tiros adentro del area_local;Tiros adentro del area_visitante;Tiros desde fuera del area_local;Tiros desde fuera del area_visitante;Fueras de juego_local;Fueras de juego_visitante;Pases_local;Pases_visitante;Pases precisos_local;Pases precisos_visitante;Saques de banda_local;Saques de banda_visitante;Pases al ultimo tercio_local;Pases al ultimo tercio_visitante;Pases en ultimo tercio_local;Pases en ultimo tercio_visitante;Entradas_local;Entradas_visitante;Intercepciones_local;Intercepciones_visitante;Recuperaciones_local;Recuperaciones_visitante;Despejes_local;Despejes_visitante;Corners_local;Corners_visitante;Faltas_local;Faltas_visitante;Tiros libres_local;Tiros libres_visitante;Tarjetas amarillas_local;Tarjetas amarillas_visitante;Tarjetas rojas_local;Tarjetas rojas_visitante;Atajadas_local;Atajadas_visitante;Saques de meta_local;Saques de meta_visitante
30/01/2026;Sport Huancayo;Alianza Lima;1;2;https://www.sofascore.com/es-la/football/match/sport-huancayo-alianza-lima/lWsVCn#id:15362086;0.64;0.36;0.49;0.87;13;7;5;3;0;0;7;1;1;3;4;2;9;5;1;0;438;254;384;189;16;21;55;48;99/123;22/58;14;11;10;6;48;42;15;16;5;1;9;18;18;8;2;3;0;0;1;4;3;14
31/05/2026;Melgar;Alianza Atlético;3;1;https://www.sofascore.com/es-la/football/match/melgar-alianza-atletico-de-sullana/hWsiW#id:16153078;0.6;0.4;2.44;0.16;20;9;7;3;1;0;9;5;4;1;15;1;5;9;3;2;512;357;451;296;16;16;79;35;135/184;25/53;23;11;7;13;51;44;8;33;5;1;10;8;8;10;1;3;0;0;3;4;6;14
31/05/2026;Los Chankas;UTC;2;2;https://www.sofascore.com/es-la/football/match/los-chankas-cyc-universidad-tecnica-de-cajamarca/ehKseVac#id:16153076;0.49;0.51;0.91;1.51;15;15;3;5;2;0;5;7;7;3;7;9;8;6;1;1;342;370;260;292;14;11;72;49;67/115;67/105;14;16;10;12;48;50;16;22;5;7;14;18;18;14;2;2;0;0;4;1;12;12
31/05/2026;Cienciano;Sporting Cristal;3;2;https://www.sofascore.com/es-la/football/match/club-sporting-cristal-cienciano/bWscW#id:16153077;0.56;0.44;3.3;0.42;25;10;7;3;1;0;13;4;5;3;19;5;6;5;6;1;371;312;328;240;19;24;47;41;83/104;43/71;10;9;8;5;39;27;19;31;6;5;8;4;4;8;0;2;0;1;2;5;7;13
30/05/2026;ADT;Cusco;1;2;https://www.sofascore.com/es-la/football/match/asociacion-deportiva-tarma-cusco-fc/kAAshlJc#id:16153068;0.59;0.41;3.48;0.97;22;7;10;3;2;0;9;3;3;1;14;3;8;4;1;2;420;310;366;256;22;17;88;45;120/161;47/70;11;9;2;5;38;35;10;39;12;0;12;9;8;12;2;3;0;0;1;9;4;8
30/05/2026;Deportivo Garcilaso;ADC Juan Pablo II;4;1;https://www.sofascore.com/es-la/football/match/adc-juan-pablo-ii-deportivo-garcilaso/JwIdsgzee#id:16153074;0.49;0.51;2.58;1.19;13;10;7;2;0;2;3;6;3;2;10;3;3;7;2;1;339;335;295;286;18;14;45;44;46/67;57/80;17;13;3;8;34;40;18;5;0;3;19;5;5;18;2;1;0;1;1;2;7;4
30/05/2026;Sport Boys;Comerciantes Unidos;1;0;https://www.sofascore.com/es-la/football/match/comerciantes-unidos-sport-boys/mWsjxKb#id:16153073;0.49;0.51;1.9;0.24;17;15;3;3;0;0;7;7;7;5;14;5;3;10;0;1;285;308;190;229;14;20;53;56;50/96;51/84;20;11;8;8;51;42;36;35;8;3;16;23;23;16;3;2;0;0;2;2;6;11
30/05/2026;Universitario;Sport Huancayo;2;1;https://www.sofascore.com/es-la/football/match/sport-huancayo-universitario-de-deportes/fWsVCn#id:16153075;0.58;0.42;2.49;1.01;16;10;4;5;1;0;9;1;3;4;13;4;3;6;1;3;415;304;359;242;16;18;62;49;112/142;57/88;3;13;10;7;32;29;22;28;12;5;9;12;12;9;2;1;0;0;4;2;5;10
29/05/2026;Atlético Grau;Moquegua;1;0;https://www.sofascore.com/es-la/football/match/cd-moquegua-club-atletico-grau/NancsYgXd#id:16153069;0.6;0.4;2.8;1.12;16;8;9;1;0;1;3;3;4;4;12;6;4;2;3;1;382;238;309;156;28;16;62;52;70/102;38/74;9;16;7;7;40;35;24;20;4;4;14;11;11;14;1;3;0;1;1;8;4;7
9/02/2026;Cajamarca;Deportivo Garcilaso;1;1;https://www.sofascore.com/es-la/football/match/fc-cajamarca-deportivo-garcilaso/JwIdscPHi#id:15438956;0.43;0.57;0.45;1.28;6;15;2;6;0;1;3;7;1;2;5;6;1;9;1;1;291;392;213;326;12;21;52;37;50/93;42/67;13;8;9;6;44;42;18;18;3;6;23;9;9;23;7;2;0;0;5;1;15;9
